DIM_NAME,1S,1W,2S,2W,3S,3W,4S,4W
A71432,"-0.0005,0.9336","0.0069,0.0006","0.0148,0.0083","0.0196,0.0","-0.0005,0.9327","0.0015,0.4504","0.0012,0.8451","0.0016,0.4147"
A71556,"-0.0031,0.6153","0.0039,0.0511","0.002,0.721","0.0006,0.7284","-0.0017,0.7739","0.0013,0.5065","-0.0009,0.8804","-0.0005,0.7975"
A71751412,"0,0","-0.001,0.6264","0,0","-0.0013,0.488","0,0","-0.0016,0.4151","0,0","-0.001,0.626"
A72435,"0,0","0.0035,0.0842","0,0","-0.0011,0.554","0,0","-0.0019,0.3379","0,0","-0.0008,0.6751"
A74051802,"0,0","-0.0013,0.5322","0,0","-0.0003,0.8552","0,0","-0.0009,0.6585","0,0","0.0008,0.7047"
A7429905,"0,0","0.0049,0.0157","0,0","0.0025,0.1724","0,0","0.0043,0.0301","0,0","0.0036,0.0701"
A7439921,"-0.0025,0.6836","0.0025,0.2086","-0.0026,0.6469","0.0004,0.8481","0.0039,0.5222","0.0026,0.1943","0.0083,0.1776","0.0008,0.6953"
A7439965,"-0.0018,0.7701","0.0063,0.0018","-0.0015,0.7917","-0.001,0.5718","-0.0042,0.4872","-0.0004,0.8534","-0.0035,0.5636","-0.0008,0.682"
A7439976,"0.0074,0.2258","0.0025,0.2051","0.0077,0.1718","0.0043,0.0191","-0.0056,0.3543","-0.0002,0.9181","0.0003,0.9561","-0.0014,0.4842"
A7440020,"-0.0027,0.6578","0.0014,0.499","-0.0007,0.9041","-0.0014,0.4293","-0.0019,0.7587","0.0013,0.4998","-0.0037,0.5499","0.0018,0.3606"
A7440224,"0,0","0.0049,0.0154","0,0","0.0038,0.0385","0,0","-0.0017,0.3811","0,0","-0.0023,0.2545"
A7440360,"0,0","-0.001,0.6267","0,0","-0.0025,0.1805","0,0","-0.0024,0.2236","0,0","0.0016,0.4197"
A7440382,"0,0","-0.0002,0.9256","0,0","-0.0004,0.8244","0,0","0.0028,0.1581","0,0","0.0016,0.4215"
A7440393,"0,0","0.0001,0.9459","0,0","-0.0005,0.7966","0,0","0.0022,0.2644","0,0","-0.0001,0.979"
