MatchID,SetSequenceNumber,GameSequenceNumber,PointSequenceNumber,TimeStamp,ServerID,Server-ServeSide,Server-ServeNumber,Returner-ReturnStrokeType,PointLength,PointDifferential,GameDifferential,P1DominantStrokeHand,P2DominantStrokeHand,P1DominantPlayingDepth,P2DominantPlayingDepth,P1ShotsOutsideSidelines,P2ShotsOutsideSidelines,P1ShortShots,P2ShortShots,Server-ServeSpeed,Server-WideServe,WinnerID,PointOutcome,P1-WINNER,P1-UNFORCED_ERROR,P2-WINNER,P2-UNFORCED_ERROR
89,0,5,2,'2007-01-31 00:54:21.5',P2,P2-DEUCE,P2-2,P1-FOREHAND,SHORT,0,1,FOREHAND,FOREHAND,BEHIND_BASELINE,INSIDE_BASELINE,false,true,false,false,P2-?,P2-true,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,5,3,'2007-01-31 00:54:44.45',P2,P2-AD,P2-1,P1-BACKHAND,SHORT,-1,1,BACKHAND,NONE,NEUTRAL,NEUTRAL,false,false,false,false,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,5,4,'2007-01-31 00:55:07.79',P2,P2-DEUCE,P2-2,P1-BACKHAND,MEDIUM,-2,1,BACKHAND,BACKHAND,BEHIND_BASELINE,NEUTRAL,false,false,true,false,P2-AVERAGE,P2-false,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,6,0,'2007-01-31 00:55:47.3',P1,P1-DEUCE,P1-1,P2-FOREHAND,SHORT,0,0,FOREHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,false,false,false,false,P1-AVERAGE,P1-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,6,1,'2007-01-31 00:56:36.35',P1,P1-AD,P1-2,P2-BACKHAND,LONG,1,0,NONE,BACKHAND,INSIDE_BASELINE,NEUTRAL,true,true,true,true,P1-SLOW,P1-false,P2,P2-WINNER,false,false,true,false
89,0,6,2,'2007-01-31 00:57:08.35',P1,P1-DEUCE,P1-1,P2-FOREHAND,MEDIUM,0,0,BACKHAND,NONE,INSIDE_BASELINE,BEHIND_BASELINE,false,false,false,true,P1-AVERAGE,P1-true,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,6,3,'2007-01-31 00:57:45.64',P1,P1-AD,P1-2,P2-FOREHAND,SHORT,-1,0,NONE,FOREHAND,NEUTRAL,NEUTRAL,false,false,false,false,P1-AVERAGE,P1-false,P1,P1-WINNER,true,false,false,false
89,0,6,4,'2007-01-31 00:58:05.15',P1,P1-DEUCE,P1-1,P2-FOREHAND,SHORT,0,0,FOREHAND,NONE,BEHIND_BASELINE,BEHIND_BASELINE,false,false,false,false,P1-FAST,P1-true,P1,P1-WINNER,true,false,false,false
89,0,6,5,'2007-01-31 00:58:37.79',P1,P1-AD,P1-2,P2-BACKHAND,LONG,1,0,NONE,BACKHAND,INSIDE_BASELINE,BEHIND_BASELINE,false,true,false,true,P1-AVERAGE,P1-true,P2,P2-UNFORCED_ERROR,false,false,false,true
89,0,6,6,'2007-01-31 00:59:30.8',P1,P1-DEUCE,P1-2,P2-BACKHAND,LONG,0,0,FOREHAND,FOREHAND,BEHIND_BASELINE,BEHIND_BASELINE,false,false,true,true,P1-SLOW,P1-false,P1,P1-UNFORCED_ERROR,false,true,false,false
89,0,6,7,'2007-01-31 01:00:21.54',P1,P1-AD,P1-2,P2-FOREHAND,LONG,1,0,BACKHAND,NONE,INSIDE_BASELINE,INSIDE_BASELINE,false,true,true,true,P1-SLOW,P1-true,P1,P1-WINNER,true,false,false,false
89,0,7,0,'2007-01-31 01:01:29.49',P2,P2-DEUCE,P2-2,P1-BACKHAND,SHORT,0,1,BACKHAND,BACKHAND,NEUTRAL,BEHIND_BASELINE,false,false,false,false,P2-AVERAGE,P2-false,P1,P1-UNFORCED_ERROR,false,true,false,false
